date,temperature,humidity,rainfall_mm,month,year,season
2012-01-01 00:00:00,-1.8,86,0.0,1,2012,Winter
2012-01-01 01:00:00,-1.8,87,15.98,1,2012,Winter
2012-01-01 02:00:00,-1.8,89,0.0,1,2012,Winter
2012-01-01 03:00:00,-1.5,88,0.0,1,2012,Winter
2012-01-01 04:00:00,-1.5,88,0.0,1,2012,Winter
2012-01-01 05:00:00,-1.4,87,0.0,1,2012,Winter
2012-01-01 06:00:00,-1.5,89,3.01,1,2012,Winter
2012-01-01 07:00:00,-1.4,85,0.1,1,2012,Winter
2012-01-01 08:00:00,-1.4,85,17.49,1,2012,Winter
2012-01-01 09:00:00,-1.3,88,0.0,1,2012,Winter
2012-01-01 10:00:00,-1.0,91,0.0,1,2012,Winter
2012-01-01 11:00:00,-0.5,89,0.0,1,2012,Winter
2012-01-01 12:00:00,-0.2,88,0.0,1,2012,Winter
2012-01-01 13:00:00,0.2,87,0.0,1,2012,Winter
2012-01-01 14:00:00,0.8,87,0.0,1,2012,Winter
2012-01-01 15:00:00,1.8,85,0.0,1,2012,Winter
2012-01-01 16:00:00,2.6,82,0.0,1,2012,Winter
2012-01-01 17:00:00,3.0,81,0.0,1,2012,Winter
2012-01-01 18:00:00,3.8,82,0.0,1,2012,Winter
2012-01-01 19:00:00,3.1,88,0.0,1,2012,Winter
2012-01-01 20:00:00,3.2,87,0.0,1,2012,Winter
2012-01-01 21:00:00,4.0,85,1.0,1,2012,Winter
2012-01-01 22:00:00,4.4,84,0.0,1,2012,Winter
2012-01-01 23:00:00,5.3,79,0.0,1,2012,Winter
2012-01-02 00:00:00,5.2,77,0.0,1,2012,Winter
2012-01-02 01:00:00,4.6,72,0.0,1,2012,Winter
2012-01-02 02:00:00,3.9,71,0.0,1,2012,Winter
2012-01-02 03:00:00,3.7,69,0.0,1,2012,Winter
2012-01-02 04:00:00,2.9,69,19.48,1,2012,Winter
2012-01-02 05:00:00,2.6,70,1.52,1,2012,Winter
2012-01-02 06:00:00,2.3,70,0.0,1,2012,Winter
2012-01-02 07:00:00,2.0,70,0.0,1,2012,Winter
2012-01-02 08:00:00,1.9,68,0.0,1,2012,Winter
2012-01-02 09:00:00,1.8,67,0.0,1,2012,Winter
2012-01-02 10:00:00,1.5,66,0.0,1,2012,Winter
2012-01-02 11:00:00,2.2,66,0.0,1,2012,Winter
2012-01-02 12:00:00,1.7,56,8.88,1,2012,Winter
2012-01-02 13:00:00,1.1,57,0.0,1,2012,Winter
2012-01-02 14:00:00,1.1,56,0.0,1,2012,Winter
2012-01-02 15:00:00,0.0,59,0.0,1,2012,Winter
2012-01-02 16:00:00,-0.7,55,0.0,1,2012,Winter
2012-01-02 17:00:00,-2.1,57,0.0,1,2012,Winter
2012-01-02 18:00:00,-4.1,57,16.63,1,2012,Winter
2012-01-02 19:00:00,-4.8,57,18.42,1,2012,Winter
2012-01-02 20:00:00,-5.6,54,0.0,1,2012,Winter
2012-01-02 21:00:00,-5.8,58,6.33,1,2012,Winter
2012-01-02 22:00:00,-7.0,54,0.0,1,2012,Winter
2012-01-02 23:00:00,-7.4,59,0.0,1,2012,Winter
2012-01-03 00:00:00,-9.0,57,0.0,1,2012,Winter
2012-01-03 01:00:00,-9.7,54,0.0,1,2012,Winter
2012-01-03 02:00:00,-10.5,65,0.0,1,2012,Winter
2012-01-03 03:00:00,-11.3,54,1.78,1,2012,Winter
2012-01-03 04:00:00,-12.6,53,0.0,1,2012,Winter
2012-01-03 05:00:00,-12.9,60,0.0,1,2012,Winter
2012-01-03 06:00:00,-13.3,61,0.0,1,2012,Winter
2012-01-03 07:00:00,-14.0,63,0.37,1,2012,Winter
2012-01-03 08:00:00,-14.8,58,16.58,1,2012,Winter
2012-01-03 09:00:00,-15.0,56,0.0,1,2012,Winter
2012-01-03 10:00:00,-15.3,56,0.0,1,2012,Winter
2012-01-03 11:00:00,-14.9,54,3.53,1,2012,Winter
2012-01-03 12:00:00,-14.9,52,3.86,1,2012,Winter
2012-01-03 13:00:00,-15.1,54,0.0,1,2012,Winter
2012-01-03 14:00:00,-14.9,50,0.0,1,2012,Winter
2012-01-03 15:00:00,-14.8,53,0.0,1,2012,Winter
2012-01-03 16:00:00,-15.3,52,3.12,1,2012,Winter
2012-01-03 17:00:00,-15.8,53,0.0,1,2012,Winter
2012-01-03 18:00:00,-16.3,52,0.0,1,2012,Winter
2012-01-03 19:00:00,-16.9,50,0.0,1,2012,Winter
2012-01-03 20:00:00,-17.3,49,0.0,1,2012,Winter
2012-01-03 21:00:00,-17.0,52,3.19,1,2012,Winter
2012-01-03 22:00:00,-17.1,52,2.36,1,2012,Winter
2012-01-03 23:00:00,-17.3,55,0.0,1,2012,Winter
2012-01-04 00:00:00,-17.5,56,3.8,1,2012,Winter
2012-01-04 01:00:00,-17.9,58,0.0,1,2012,Winter
2012-01-04 02:00:00,-18.1,61,2.47,1,2012,Winter
2012-01-04 03:00:00,-18.5,59,0.0,1,2012,Winter
2012-01-04 04:00:00,-18.5,59,0.0,1,2012,Winter
2012-01-04 05:00:00,-18.6,62,0.0,1,2012,Winter
2012-01-04 06:00:00,-18.5,61,0.0,1,2012,Winter
2012-01-04 07:00:00,-18.2,60,0.0,1,2012,Winter
2012-01-04 08:00:00,-17.8,57,0.0,1,2012,Winter
2012-01-04 09:00:00,-16.8,61,0.0,1,2012,Winter
2012-01-04 10:00:00,-15.2,63,0.0,1,2012,Winter
2012-01-04 11:00:00,-14.2,56,8.74,1,2012,Winter
2012-01-04 12:00:00,-13.7,51,0.0,1,2012,Winter
2012-01-04 13:00:00,-12.4,53,1.14,1,2012,Winter
2012-01-04 14:00:00,-11.3,53,0.0,1,2012,Winter
2012-01-04 15:00:00,-10.2,61,0.0,1,2012,Winter
2012-01-04 16:00:00,-9.4,61,0.0,1,2012,Winter
2012-01-04 17:00:00,-8.9,71,17.12,1,2012,Winter
2012-01-04 18:00:00,-8.9,75,0.0,1,2012,Winter
2012-01-04 19:00:00,-8.4,71,4.02,1,2012,Winter
2012-01-04 20:00:00,-7.8,71,0.0,1,2012,Winter
2012-01-04 21:00:00,-7.6,73,2.7,1,2012,Winter
2012-01-04 22:00:00,-9.5,77,4.48,1,2012,Winter
2012-01-04 23:00:00,-9.6,79,0.0,1,2012,Winter
2012-01-05 00:00:00,-8.8,79,0.0,1,2012,Winter
2012-01-05 01:00:00,-7.5,81,0.0,1,2012,Winter
2012-01-05 02:00:00,-5.4,80,0.0,1,2012,Winter
2012-01-05 03:00:00,-5.0,81,4.3,1,2012,Winter
2012-01-05 04:00:00,-4.1,83,0.0,1,2012,Winter
2012-01-05 05:00:00,-7.0,82,0.0,1,2012,Winter
2012-01-05 06:00:00,-8.2,82,0.0,1,2012,Winter
2012-01-05 07:00:00,-7.1,82,0.0,1,2012,Winter
2012-01-05 08:00:00,-6.1,79,0.0,1,2012,Winter
2012-01-05 09:00:00,-6.6,76,0.0,1,2012,Winter
2012-01-05 10:00:00,-6.0,73,9.85,1,2012,Winter
2012-01-05 11:00:00,-5.6,70,0.0,1,2012,Winter
2012-01-05 12:00:00,-4.7,69,1.82,1,2012,Winter
2012-01-05 13:00:00,-4.4,66,19.44,1,2012,Winter
2012-01-05 14:00:00,-5.1,65,0.0,1,2012,Winter
2012-01-05 15:00:00,-4.3,55,0.0,1,2012,Winter
2012-01-05 16:00:00,-5.0,55,0.0,1,2012,Winter
2012-01-05 17:00:00,-6.7,56,0.0,1,2012,Winter
2012-01-05 18:00:00,-7.1,56,0.0,1,2012,Winter
2012-01-05 19:00:00,-9.2,61,0.0,1,2012,Winter
2012-01-05 20:00:00,-9.8,62,0.0,1,2012,Winter
2012-01-05 21:00:00,-9.0,63,0.0,1,2012,Winter
2012-01-05 22:00:00,-9.9,63,0.0,1,2012,Winter
2012-01-05 23:00:00,-9.4,61,8.59,1,2012,Winter
2012-01-06 00:00:00,-9.6,56,0.0,1,2012,Winter
2012-01-06 01:00:00,-10.0,55,0.0,1,2012,Winter
2012-01-06 02:00:00,-10.5,61,8.63,1,2012,Winter
2012-01-06 03:00:00,-10.6,64,0.0,1,2012,Winter
2012-01-06 04:00:00,-11.3,68,1.19,1,2012,Winter
2012-01-06 05:00:00,-11.8,71,1.84,1,2012,Winter
2012-01-06 06:00:00,-12.0,71,0.0,1,2012,Winter
2012-01-06 07:00:00,-14.4,85,0.0,1,2012,Winter
2012-01-06 08:00:00,-12.3,73,0.0,1,2012,Winter
2012-01-06 09:00:00,-12.5,71,0.0,1,2012,Winter
2012-01-06 10:00:00,-12.3,72,1.6,1,2012,Winter
2012-01-06 11:00:00,-12.0,72,0.0,1,2012,Winter
2012-01-06 12:00:00,-11.7,74,0.0,1,2012,Winter
2012-01-06 13:00:00,-11.9,74,0.0,1,2012,Winter
2012-01-06 14:00:00,-11.2,75,0.0,1,2012,Winter
2012-01-06 15:00:00,-11.5,79,0.0,1,2012,Winter
2012-01-06 16:00:00,-11.6,78,0.0,1,2012,Winter
2012-01-06 17:00:00,-11.2,78,0.0,1,2012,Winter
2012-01-06 18:00:00,-10.5,78,0.0,1,2012,Winter
2012-01-06 19:00:00,-10.5,79,0.0,1,2012,Winter
2012-01-06 20:00:00,-10.2,80,0.0,1,2012,Winter
2012-01-06 21:00:00,-9.5,79,0.0,1,2012,Winter
2012-01-06 22:00:00,-9.3,79,7.06,1,2012,Winter
2012-01-06 23:00:00,-9.0,79,0.0,1,2012,Winter
2012-01-07 00:00:00,-8.7,79,0.0,1,2012,Winter
2012-01-07 01:00:00,-8.5,80,18.16,1,2012,Winter
2012-01-07 02:00:00,-8.1,79,0.0,1,2012,Winter
2012-01-07 03:00:00,-7.8,79,0.0,1,2012,Winter
2012-01-07 04:00:00,-7.5,79,2.78,1,2012,Winter
2012-01-07 05:00:00,-6.9,80,0.0,1,2012,Winter
2012-01-07 06:00:00,-6.7,80,0.0,1,2012,Winter
2012-01-07 07:00:00,-7.0,81,0.0,1,2012,Winter
2012-01-07 08:00:00,-6.4,82,4.5,1,2012,Winter
2012-01-07 09:00:00,-6.1,82,0.0,1,2012,Winter
2012-01-07 10:00:00,-5.7,84,0.0,1,2012,Winter
2012-01-07 11:00:00,-5.4,84,0.0,1,2012,Winter
2012-01-07 12:00:00,-5.5,84,4.49,1,2012,Winter
2012-01-07 13:00:00,-4.8,83,3.9,1,2012,Winter
2012-01-07 14:00:00,-4.4,83,0.0,1,2012,Winter
2012-01-07 15:00:00,-3.7,83,0.0,1,2012,Winter
2012-01-07 16:00:00,-3.6,84,0.0,1,2012,Winter
2012-01-07 17:00:00,-3.1,84,3.03,1,2012,Winter
2012-01-07 18:00:00,-3.2,85,0.0,1,2012,Winter
2012-01-07 19:00:00,-3.0,86,0.0,1,2012,Winter
2012-01-07 20:00:00,-1.8,87,0.0,1,2012,Winter
2012-01-07 21:00:00,-1.3,88,0.0,1,2012,Winter
2012-01-07 22:00:00,-1.5,89,0.0,1,2012,Winter
2012-01-07 23:00:00,0.4,87,0.0,1,2012,Winter
2012-01-08 00:00:00,0.6,76,0.0,1,2012,Winter
2012-01-08 01:00:00,-0.6,74,0.0,1,2012,Winter
2012-01-08 02:00:00,-1.7,71,0.0,1,2012,Winter
2012-01-08 03:00:00,-3.5,69,1.19,1,2012,Winter
2012-01-08 04:00:00,-4.4,69,0.0,1,2012,Winter
2012-01-08 05:00:00,-5.9,70,3.25,1,2012,Winter
2012-01-08 06:00:00,-5.8,68,3.29,1,2012,Winter
2012-01-08 07:00:00,-5.6,69,0.0,1,2012,Winter
2012-01-08 08:00:00,-5.9,69,0.0,1,2012,Winter
2012-01-08 09:00:00,-6.4,65,0.0,1,2012,Winter
2012-01-08 10:00:00,-6.5,67,0.0,1,2012,Winter
2012-01-08 11:00:00,-7.1,65,0.0,1,2012,Winter
2012-01-08 12:00:00,-6.7,66,10.9,1,2012,Winter
2012-01-08 13:00:00,-6.5,63,3.16,1,2012,Winter
2012-01-08 14:00:00,-6.5,65,2.51,1,2012,Winter
2012-01-08 15:00:00,-6.6,61,0.0,1,2012,Winter
2012-01-08 16:00:00,-6.6,59,0.0,1,2012,Winter
2012-01-08 17:00:00,-7.2,59,0.0,1,2012,Winter
2012-01-08 18:00:00,-8.1,62,1.4,1,2012,Winter
2012-01-08 19:00:00,-8.0,62,0.0,1,2012,Winter
2012-01-08 20:00:00,-8.3,65,0.0,1,2012,Winter
2012-01-08 21:00:00,-8.3,64,0.0,1,2012,Winter
2012-01-08 22:00:00,-8.7,65,19.31,1,2012,Winter
2012-01-08 23:00:00,-9.0,68,10.55,1,2012,Winter
2012-01-09 00:00:00,-9.2,66,0.0,1,2012,Winter
2012-01-09 01:00:00,-9.8,68,11.42,1,2012,Winter
2012-01-09 02:00:00,-9.0,66,19.45,1,2012,Winter
2012-01-09 03:00:00,-8.8,70,1.47,1,2012,Winter
2012-01-09 04:00:00,-8.5,69,0.0,1,2012,Winter
2012-01-09 05:00:00,-8.4,71,1.58,1,2012,Winter
2012-01-09 06:00:00,-7.7,72,0.0,1,2012,Winter
2012-01-09 07:00:00,-6.8,72,0.0,1,2012,Winter
2012-01-09 08:00:00,-5.9,70,15.44,1,2012,Winter
2012-01-09 09:00:00,-5.4,75,0.0,1,2012,Winter
2012-01-09 10:00:00,-4.8,76,0.0,1,2012,Winter
2012-01-09 11:00:00,-3.7,77,0.0,1,2012,Winter
2012-01-09 12:00:00,-2.5,73,7.1,1,2012,Winter
2012-01-09 13:00:00,-1.7,74,0.0,1,2012,Winter
2012-01-09 14:00:00,-1.4,76,3.7,1,2012,Winter
2012-01-09 15:00:00,-1.0,74,0.0,1,2012,Winter
2012-01-09 16:00:00,-1.3,72,1.8,1,2012,Winter
2012-01-09 17:00:00,-1.4,72,0.0,1,2012,Winter
2012-01-09 18:00:00,-1.0,71,4.05,1,2012,Winter
2012-01-09 19:00:00,-1.1,70,4.57,1,2012,Winter
2012-01-09 20:00:00,-1.5,70,0.0,1,2012,Winter
2012-01-09 21:00:00,-1.7,71,0.0,1,2012,Winter
2012-01-09 22:00:00,-0.3,64,3.25,1,2012,Winter
